Time,CG 1 Volt,CG 2 Volt,CG 3 Volt,CG 4 Volt,CG 5 Volt,CG 6 Volt,CG 7 Volt,CG 8 Volt,CG 9 Volt,CG 10 Volt,CG 11 Volt,CG 12 Volt,CG 13 Volt,CG 14 Volt,CG 15 Volt,CG 16 Volt
1422.2,3.4675,3.4725,3.4775,3.4712,3.4775,3.4737,3.4775,3.475,3.4875,3.4838,3.485,3.4863,3.4788,3.48,3.4788,3.4813
1422.4,3.4663,3.4712,3.4763,3.4712,3.4763,3.4737,3.4788,3.475,3.4875,3.4825,3.485,3.4838,3.4788,3.48,3.4775,3.48
1422.6,3.4675,3.4725,3.4763,3.4712,3.4775,3.4737,3.4775,3.475,3.4863,3.4813,3.4875,3.485,3.4788,3.48,3.4788,3.4813
1422.8,3.4663,3.4725,3.4763,3.4712,3.4788,3.4725,3.4775,3.475,3.4863,3.4825,3.485,3.4838,3.48,3.4788,3.4775,3.4813
1423,3.4663,3.4725,3.4763,3.4712,3.4775,3.4725,3.4775,3.475,3.4863,3.4825,3.485,3.4838,3.48,3.4788,3.4775,3.4813
1423.2,3.4675,3.4725,3.4763,3.4712,3.4763,3.4737,3.4775,3.475,3.485,3.4825,3.4863,3.485,3.4813,3.48,3.4775,3.4825
1423.4,3.4663,3.4725,3.4763,3.4712,3.4775,3.4725,3.4788,3.4763,3.485,3.4825,3.485,3.485,3.4788,3.4788,3.4788,3.48
1423.6,3.4663,3.4725,3.475,3.4712,3.4775,3.4725,3.4775,3.475,3.4863,3.4838,3.485,3.4838,3.4788,3.4788,3.48,3.4813
1423.8,3.4675,3.4725,3.475,3.4725,3.4763,3.4725,3.4775,3.475,3.485,3.4813,3.485,3.4838,3.4788,3.48,3.4788,3.4825
1424,3.465,3.4712,3.4763,3.4712,3.4775,3.4725,3.4763,3.475,3.485,3.4813,3.485,3.4825,3.4788,3.4813,3.4788,3.48
1424.2,3.4675,3.4712,3.4763,3.4712,3.4763,3.4725,3.4775,3.475,3.485,3.4813,3.485,3.4838,3.4788,3.48,3.4788,3.4825
1424.4,3.4663,3.4712,3.4763,3.4725,3.4788,3.4725,3.4775,3.475,3.4863,3.4825,3.485,3.485,3.48,3.4788,3.4763,3.4825
1424.6,3.465,3.4712,3.4763,3.4712,3.4775,3.4725,3.4775,3.475,3.4863,3.4825,3.4863,3.4838,3.4775,3.4788,3.4788,3.48
1424.8,3.4675,3.4725,3.4763,3.4725,3.4775,3.4725,3.4763,3.475,3.485,3.48,3.485,3.4838,3.4788,3.48,3.4775,3.4813
1425,3.465,3.4725,3.4763,3.4725,3.4775,3.4725,3.4775,3.4737,3.4863,3.4813,3.4863,3.4838,3.4788,3.48,3.4775,3.48
1425.2,3.4663,3.4725,3.4763,3.4712,3.4775,3.4725,3.4788,3.475,3.485,3.4825,3.485,3.4825,3.48,3.48,3.4788,3.4813
1425.4,3.4663,3.4725,3.4763,3.4712,3.4775,3.4725,3.4775,3.4737,3.485,3.4825,3.485,3.4825,3.48,3.4813,3.4775,3.48
1425.6,3.465,3.4712,3.4775,3.4712,3.4775,3.4725,3.4775,3.475,3.485,3.4838,3.4838,3.485,3.4788,3.4788,3.4788,3.4813
1425.8,3.4663,3.4712,3.475,3.4712,3.4775,3.4725,3.4788,3.475,3.485,3.4813,3.485,3.4838,3.48,3.4788,3.4763,3.4813
1426,3.4663,3.4712,3.475,3.4712,3.4788,3.4712,3.4775,3.4737,3.485,3.4813,3.485,3.4838,3.48,3.48,3.4775,3.4825
1426.2,3.4663,3.4712,3.4763,3.4712,3.4775,3.4725,3.4775,3.475,3.4863,3.4813,3.4863,3.4838,3.4788,3.48,3.4775,3.48
1426.4,3.4675,3.4725,3.4763,3.4712,3.4775,3.4712,3.4775,3.4737,3.4838,3.4838,3.4838,3.4838,3.4788,3.4788,3.48,3.48
1426.6,3.4663,3.4712,3.4763,3.4725,3.4775,3.4725,3.4775,3.4737,3.485,3.4825,3.485,3.4838,3.4813,3.48,3.4775,3.4813
1426.8,3.465,3.4725,3.4763,3.4725,3.4788,3.4712,3.4775,3.4737,3.485,3.4825,3.485,3.485,3.4788,3.4788,3.4775,3.4825
1427,3.4663,3.4725,3.4763,3.4725,3.4775,3.4725,3.4775,3.475,3.4838,3.4825,3.485,3.485,3.4788,3.4788,3.48,3.4813
1427.2,3.465,3.4712,3.475,3.4725,3.4763,3.4725,3.4763,3.4737,3.485,3.4825,3.4838,3.4838,3.48,3.4788,3.4775,3.48
1427.4,3.4663,3.4725,3.4763,3.4712,3.4775,3.4725,3.4775,3.475,3.485,3.4838,3.4838,3.4825,3.48,3.4788,3.4763,3.48
1427.6,3.4663,3.4712,3.4763,3.4712,3.4763,3.4725,3.4763,3.475,3.485,3.4838,3.4825,3.485,3.4775,3.4775,3.4775,3.4813
1427.8,3.465,3.4725,3.4763,3.4725,3.4763,3.4712,3.4763,3.475,3.485,3.4813,3.4863,3.4838,3.4775,3.48,3.4788,3.48
1428,3.4663,3.4712,3.4763,3.4725,3.4775,3.4737,3.4763,3.4737,3.4838,3.4838,3.4825,3.4838,3.4788,3.4788,3.4788,3.48
1428.2,3.4663,3.4712,3.4763,3.4712,3.4775,3.4737,3.4788,3.4737,3.4863,3.4813,3.4838,3.485,3.4788,3.48,3.4788,3.48
1428.4,3.465,3.4712,3.4763,3.4712,3.4775,3.4712,3.4775,3.475,3.485,3.4838,3.4825,3.4838,3.4788,3.4788,3.4775,3.4813
1428.6,3.4675,3.4725,3.4763,3.4712,3.4775,3.4725,3.4763,3.4737,3.4863,3.4813,3.485,3.4838,3.4788,3.4813,3.4775,3.48
1428.8,3.465,3.4712,3.475,3.4712,3.4775,3.4712,3.4763,3.475,3.4863,3.4813,3.4838,3.4838,3.4788,3.4813,3.4788,3.48
1429,3.4663,3.4737,3.475,3.4712,3.4775,3.4725,3.4763,3.475,3.485,3.4838,3.485,3.4838,3.4775,3.4788,3.48,3.4813
1429.2,3.465,3.4725,3.475,3.4712,3.4775,3.4712,3.4775,3.4763,3.485,3.4813,3.4838,3.485,3.4788,3.4775,3.4788,3.4825
1429.4,3.465,3.4725,3.4763,3.4712,3.4775,3.4712,3.4763,3.475,3.485,3.4838,3.4838,3.4838,3.4788,3.48,3.4775,3.48
1429.6,3.4663,3.4712,3.4763,3.4725,3.4763,3.4725,3.4763,3.4737,3.485,3.4813,3.4863,3.4838,3.4775,3.4788,3.4775,3.48
1429.8,3.465,3.4725,3.4763,3.4712,3.4763,3.4725,3.4763,3.475,3.4838,3.4838,3.4838,3.4838,3.48,3.4788,3.48,3.4813
